Fabbrica;Tipo;Consumo_Std;Consumo_Hyb
FIAT;PANDA;18;22
FIAT;500;20;25
HONDA;INSIGHT;17;25
HYUNDAI;IONIQ;14;25
LANCIA;YPSILON;16.5;23.5
LEXUS;NX;11.7;18
LEXUS;RX;11.3;15
LEXUS;CT;14;24
SUZUKI;IGNIS;18.2;21.7
SUZUKI;SWIFT;19;23
SUZUKI;VITARA;15.5;18
TOYOTA;YARIS;18;24
TOYOTA;AURIS;17.5;25
TOYOTA;C-HR;14.3;21
TOYOTA;RAV4;12;19
TOYOTA;PRIUS;16;25
TOYOTA;COROLLA;15;22.5
TOYOTA;YARIS CROSS;17.4;23.5
